Time (s),Preciptation Intensity, S. Rate (ml/s),
41.81,0.01755,2.630949534,
64.75,0.01755,3.063783167,
80.5,0.01755,3.84785193,
93.69,0.01755,4.746211794,
104.38,0.01755,5.854967564,
113.44,0.01755,7.112230122,
121,0.01755,8.599837008,
128.25,0.01755,9.914352365,
135.03,0.01755,11.17631965,
141.53,0.01755,12.3256711,
147.63,0.01755,13.46709426,
153.94,0.01755,14.26020473,
173.03,0.01755,14.97023817,
190.31,0.01755,15.91137572,
207.16,0.01755,16.76470888,
222.38,0.01755,17.87957263,
237.63,0.01755,18.76267449,
252.16,0.01755,19.69011207,
266.5,0.01755,20.49407013,
279.81,0.01755,21.50419675,
293.13,0.01755,22.3084625,
306.59,0.01755,22.89877595,
319.25,0.01755,23.69026878,
331.5,0.01755,24.50323543,
343.97,0.01755,25.05567576,
356.38,0.01755,25.52399266,
368.09,0.01755,26.22619669,
379.56,0.01755,26.90946651,
391.06,0.01755,27.44061668,
402.81,0.01755,27.73972739,
413.66,0.01755,28.45906302,
424.91,0.01755,28.81169486,
436.06,0.01755,29.1480106,
445.94,0.01755,30.20099957,
456.63,0.01755,30.52188478,
467.91,0.01755,30.44587662,
478.41,0.01755,30.83289177,
488.28,0.01755,31.55587775,
499.41,0.01755,31.35431586,
510.44,0.01755,31.24845722,
520.44,0.01755,31.79876578,
531.5,0.01755,31.58729472,
543.13,0.01755,31.11678332,
553.31,0.01755,31.5731909,
565.13,0.01755,31.01151381,
576.53,0.01755,30.77412333,
587.56,0.01755,30.78430319,
599.84,0.01755,30.16490184,
610.97,0.01755,30.24153513,
623.47,0.01755,29.6332281,
635.84,0.01755,29.20375306,
647.63,0.01755,29.13060211,
660.41,0.01755,28.62529546,
673.59,0.01755,28.05956869,
687,0.01755,27.5184976,
701.44,0.01755,26.72393936,
715.28,0.01755,26.29244628,
730.13,0.01755,25.61308161,
744.75,0.01755,25.14162808,
760.66,0.01755,24.38734394,
777.44,0.01755,23.56231854,
794.44,0.01755,22.84985483,
812.53,0.01755,22.03886673,
832.06,0.01755,21.11291622,
852.06,0.01755,20.29033298,
874.22,0.01755,19.30085844,
897.63,0.01755,18.34542831,
926.13,0.01755,17.06230756,
957.69,0.01755,15.80447216,
992.53,0.01755,14.59535729,
1027.69,0.01755,13.61030176,
1066.28,0.01755,12.65035595,
1107.31,0.01755,11.77760867,
1153.72,0.01755,10.8872884,
1199.84,0.01755,10.18424529,
1248.31,0.01755,9.550325878,
1299.75,0.01755,8.962189163,
1351.97,0.01755,8.471934402,
1407.66,0.01755,7.998592593,
1467.06,0.01755,7.543655219,
1486.81,0.01755,7.148848226,
1507.06,0.01755,6.805498334,
1527.41,0.01755,6.525479748,
1548.38,0.01755,6.269501586,
1569.78,0.01755,6.043638652,
1591.78,0.01755,5.834910921,
1614.81,0.01755,5.623204464,
1637.47,0.01755,5.469437358,
1660,0.01755,5.352025696,
1683.53,0.01755,5.216597183,
1707.25,0.01755,5.100765099,
1731.94,0.01755,4.971661087,
1756.63,0.01755,4.868377877,
1783.19,0.01755,4.723015555,
1808.16,0.01755,4.659469712,
1834.25,0.01755,4.570810726,
1861.81,0.01755,4.454906926,
1889.09,0.01755,4.370377154,
1918.19,0.01755,4.252315469,
1947.72,0.01755,4.146857455,
1976.75,0.01755,4.075322684,
2005.59,0.01755,4.023087551,
2036.28,0.01755,3.935315919,
2066.84,0.01755,3.868148023,
2097.13,0.01755,3.820830733,
2128.94,0.01755,3.748270999,
2160.78,0.01755,3.689571573,
2193.78,0.01755,3.618323925,
2227.84,0.01755,3.540578107,
2258.91,0.01755,3.540541018,
2294.41,0.01755,3.452151124,
2329.66,0.01755,3.385834374,
2364.34,0.01755,3.343038895,
2401.03,0.01755,3.274049541,
2438.53,0.01755,3.205906299,
2477.69,0.01755,3.126522792,
2515.72,0.01755,3.079708899,
2554.38,0.01755,3.032830751,
2594.53,0.01755,2.974209806,
2634.59,0.01755,2.928544081,
2676.41,0.01755,2.868899349,
2719,0.01755,2.81167266,
2762.28,0.01755,2.757656058,
2806.66,0.01755,2.701843639,
2850.78,0.01755,2.660114984,
2895.69,0.01755,2.617960613,
2940.03,0.01755,2.59053448,
2988.94,0.01755,2.52223335,
3038.16,0.01755,2.464759455,
3085.16,0.01755,2.439892671,
3134.34,0.01755,2.399250452,
3184.44,0.01755,2.358522118,
3236.97,0.01755,2.305625995,
3289.22,0.01755,2.265553427,
3340.22,0.01755,2.243815291,
3395.91,0.01755,2.190096226,
3452.03,0.01755,2.144094087,
3509.34,0.01755,2.099152429,
3541.47,0.01755,2.027905821,
3573.38,0.01755,1.973311808,
3602.56,0.01755,1.962473984,
3635.63,0.01755,1.908654724,
3667.31,0.01755,1.880459133,
3699.78,0.01755,1.849301091,
3732.44,0.01755,1.822368001,
3766,0.01755,1.791625032,
3801.25,0.01755,1.751030522,
3835.44,0.01755,1.728405582,
3871.03,0.01755,1.697419605,
3907.13,0.01755,1.668184991,
3943.91,0.01755,1.639061315,
3980.47,0.01755,1.617594785,
4016.78,0.01755,1.602530799,
4055.5,0.01755,1.571280838,
4093,0.01755,1.555691337,
4131.13,0.01755,1.538285039,
4168.75,0.01755,1.528342013,
4207.41,0.01755,1.512378732,
4246.59,0.01755,1.495763118,
4285.59,0.01755,1.483789982,
4325.38,0.01755,1.468509744,
4365.97,0.01755,1.450737827,
4406.41,0.01755,1.437543773,
4448.81,0.01755,1.414185962,
4487.5,0.01755,1.420829255,
4529.78,0.01755,1.401564067,
4572.88,0.01755,1.381112042,
4615.19,0.01755,1.369602468,
4657.31,0.01755,1.361588907,
4699.94,0.01755,1.351996905,
4744.06,0.01755,1.335450652,
4788.38,0.01755,1.321068103,
4831.97,0.01755,1.313794147,
4876.44,0.01755,1.302890501,
4901.41,0.01755,1.282600747,
4923.25,0.01755,1.300805872,
4948.53,0.01755,1.27798647,
4971.81,0.01755,1.280121135,
4995.59,0.01755,1.276409776,
5018.59,0.01755,1.281997386,
5043.47,0.01755,1.266755465,
5069.28,0.01755,1.245872408,
5093.03,0.01755,1.249329505,
5119.59,0.01755,1.225367218,
5143.88,0.01755,1.227309007,
5168.88,0.01755,1.221847206,
5195.28,0.01755,1.204750492,
5219.75,0.01755,1.208998595,
5245.63,0.01755,1.199038134,
5270.97,0.01755,1.196010302,
5295.84,0.01755,1.198062765,
5322.44,0.01755,1.184014122,
5349.22,0.01755,1.171259095,
5374.75,0.01755,1.172024902,
5400.88,0.01755,1.167241047,
5427.56,0.01755,1.158680394,
5456,0.01755,1.137914779,
5482.53,0.01755,1.136490888,
5509.41,0.01755,1.132406996,
5537.16,0.01755,1.122141813,
5565.09,0.01755,1.112536222,
5593.84,0.01755,1.09872463,
5621.59,0.01755,1.09519592,
5648.22,0.01755,1.101466537,
5676.63,0.01755,1.092366471,
5705.97,0.01755,1.078392155,
5733.44,0.01755,1.081133818,
5761.94,0.01755,1.07543337,
5790.94,0.01755,1.067243248,
5817.34,0.01755,1.081067326,
5847.72,0.01755,1.062352215,
5876.97,0.01755,1.055009977,
5907.78,0.01755,1.038749948,
5935.75,0.01755,1.045515511,
5964.56,0.01755,1.044673429,
5994.66,0.01755,1.035074292,
6024.81,0.01755,1.027064408,
6058.53,0.01755,0.99958747,
6082.72,0.01755,1.047706355,
6115.22,0.01755,1.022780468,
6144.66,0.01755,1.022028722,
6174.88,0.01755,1.016166989,
6204.97,0.01755,1.012335385,
6234.72,0.01755,1.011548981,
6267.44,0.01755,0.992613268,
6298.78,0.01755,0.985539242,
6330.03,0.01755,0.980431394,
6360.84,0.01755,0.979087082,
6394.5,0.01755,0.961522785,
6424.59,0.01755,0.968620023,
6458.59,0.01755,0.951366606,
6491.41,0.01755,0.943908641,
6527.78,0.01755,0.920098043,
6828.26,0.01755,,
